,m_pokemon,m_numMoves,m_learnLevel[],m_moveToLearn[],,,,,,,,,,,,,,,,,,,,
1,BULBASAUR,9,1,144,1,53,7,73,13,159,20,94,27,102,34,54,41,122,48,127,,,,
2,IVYSAUR,10,1,144,1,53,1,73,7,73,13,159,22,94,30,102,38,54,46,122,54,127,,
3,VENUSAUR,11,1,144,1,53,1,73,1,159,7,73,13,159,22,94,30,102,43,54,55,122,65,127
4,CHARMANDER,8,1,112,1,53,9,40,15,74,22,101,30,121,38,46,46,44,,,,,,
5,CHARMELEON,9,1,112,1,53,1,40,9,40,15,74,24,101,33,121,42,46,56,44,,,,
6,CHARIZARD,10,1,112,1,53,1,40,1,74,9,40,15,74,24,101,36,121,46,46,55,44,,
7,SQUIRTLE,8,1,144,1,145,8,16,15,160,22,11,28,164,35,118,42,63,,,,,,
8,WARTORTLE,9,1,144,1,145,1,16,8,16,15,160,24,11,31,164,39,118,47,63,,,,
9,BLASTOISE,10,1,144,1,145,1,16,1,160,8,16,15,160,24,11,31,164,42,118,52,63,,
10,CATERPIE,2,1,144,1,134,,,,,,,,,,,,,,,,,,
11,METAPOD,1,1,57,,,,,,,,,,,,,,,,,,,,
12,BUTTERFREE,,,,,,,,,,,,,,,,,,,,,,,
13,WEEDLE,2,1,95,1,134,,,,,,,,,,,,,,,,,,
14,KAKUNA,1,1,57,,,,,,,,,,,,,,,,,,,,
15,BEEDRILL,,,,,,,,,,,,,,,,,,,,,,,
16,PIDGEY,7,1,56,5,111,12,100,19,162,28,163,36,4,44,86,,,,,,,,
17,PIDGEOTTO,8,1,56,1,111,5,111,12,100,21,162,31,163,40,4,49,86,,,,,,
18,PIDGEOT,,,,,,,,,,,,,,,,,,,,,,,
19,RATTATA,6,1,144,1,145,7,100,14,65,23,49,34,139,,,,,,,,,,
20,RATICATE,,,,,,,,,,,,,,,,,,,,,,,
21,SPEAROW,7,1,90,1,53,9,74,15,50,22,86,37,36,4,,,,,,,,,
22,FEARAOW,,,,,,,,,,,,,,,,,,,,,,,
23,EKANS,,,,,,,,,,,,,,,,,,,,,,,
24,ARBOK,,,,,,,,,,,,,,,,,,,,,,,
25,PIKACHU,,,,,,,,,,,,,,,,,,,,,,,
26,RAICHU,,,,,,,,,,,,,,,,,,,,,,,
27,SANDSHREW,,,,,,,,,,,,,,,,,,,,,,,
28,SANDSLASH,,,,,,,,,,,,,,,,,,,,,,,
29,NIDORAN♀,,,,,,,,,,,,,,,,,,,,,,,
30,NIDORINA,,,,,,,,,,,,,,,,,,,,,,,
31,NIDOQUEEN,,,,,,,,,,,,,,,,,,,,,,,
32,NIDORAN♂,,,,,,,,,,,,,,,,,,,,,,,
33,NIDORINO,,,,,,,,,,,,,,,,,,,,,,,
34,NIDOKING,,,,,,,,,,,,,,,,,,,,,,,
