m_pokedex,m_pokemon,m_baseHP,m_baseAtk,m_baseDef,m_baseSpd,m_baseSpe,m_type1,m_type2,m_catchRate,m_expYield
1,BULBASAUR,45,49,49,45,65,GRASS,POISON,45,64
2,IVYSAUR,60,62,63,60,80,GRASS,POISON,45,142
3,VENUSAUR,80,82,83,80,100,GRASS,POISON,45,236
4,CHARMANDER,39,52,43,65,50,FIRE,,45,62
5,CHARMELEON,58,64,58,80,65,FIRE,,45,142
6,CHARIZARD,78,84,78,100,85,FIRE,FLYING,45,240
7,SQUIRTLE,44,48,65,43,50,WATER,,45,63
8,WARTORTLE,59,63,80,58,65,WATER,,45,142
9,BLASTOISE,79,83,100,78,85,WATER,,45,239
10,,,,,,,,,,
